SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,
226.039,197.039,93.7811,196.091,284.66,199.002,210.533,49.7655,197.953,67.3909,22.7092,171.643,110.505,63.9196,145.415,125.926,176.432,64.8596,46.1952,42.0664,30.2596,102.104,95.4583,43.087,280.748,152.403,
225.909,197.059,93.8738,196.079,284.664,199.002,210.536,49.7665,197.925,67.344,22.6109,171.622,110.513,63.9161,145.509,125.917,176.434,64.8598,46.1829,42.0683,30.6312,102.2,95.7992,43.1942,280.714,152.039,
225.779,197.079,93.8036,196.089,284.724,199.008,210.514,49.7603,197.919,67.3345,22.5704,171.614,110.522,63.9125,145.632,125.905,176.452,64.8608,46.1409,42.0762,31.0029,102.295,96.1592,43.3089,280.683,151.675,
225.858,197.065,93.6427,196.116,284.772,199.013,210.4,49.7338,197.952,67.3857,22.482,171.596,110.531,63.9087,145.577,125.909,176.485,64.863,46.1586,42.0727,31.3733,102.39,96.5108,43.4224,280.654,151.317,
225.739,197.085,93.5854,196.125,284.687,199.005,210.477,49.7517,197.897,67.2997,22.4739,171.594,110.538,63.9056,145.565,125.91,176.368,64.8543,46.1343,42.0779,31.7452,102.486,96.8644,43.5387,280.627,150.953,
225.672,197.096,93.5135,196.138,284.677,199.004,210.325,49.7164,197.923,67.3383,22.3473,171.568,110.545,63.9024,145.537,125.912,176.416,64.8576,46.0627,42.095,32.1112,102.58,97.2115,43.6548,280.602,150.596,
225.645,197.101,93.5039,196.14,284.667,199.002,210.243,49.6962,197.881,67.277,22.3474,171.568,110.552,63.8989,145.479,125.917,176.405,64.8571,46.0076,42.1057,32.4782,102.673,97.5689,43.7762,280.58,150.229,
225.557,197.118,93.4464,196.148,284.624,198.994,210.346,49.724,197.786,67.1429,22.3952,171.576,110.559,63.8956,145.336,125.93,176.438,64.858,46.0993,42.0903,32.8316,102.763,97.9175,43.8954,280.559,149.941,
225.368,197.151,93.4922,196.142,284.468,198.968,210.25,49.6981,197.788,67.1454,22.3683,171.571,110.564,63.893,145.459,125.92,176.472,64.859,46.0162,42.1053,33.178,102.855,98.2622,44.0149,280.527,149.665,
225.458,197.135,93.3645,196.158,284.486,198.971,210.236,49.6943,197.734,67.0617,22.3882,171.575,110.569,63.8907,145.524,125.915,176.488,64.8593,46.1217,42.0849,33.5445,102.952,98.6065,44.1372,280.48,149.314,
225.449,197.137,93.3986,196.153,284.413,198.96,210.195,49.681,197.688,66.9892,22.4084,171.578,110.573,63.8886,145.469,125.918,176.446,64.8604,46.11,42.0871,33.9067,103.048,98.963,44.2658,280.436,148.963,
225.482,197.129,93.416,196.15,284.316,198.941,210.17,49.6718,197.682,66.9787,22.367,171.569,110.576,63.8869,145.472,125.918,176.258,64.8703,46.1255,42.0839,34.2666,103.145,99.3046,44.3908,280.394,148.604,
225.482,197.129,93.3907,196.154,284.212,198.918,210.132,49.6552,197.648,66.9159,22.4431,171.586,110.578,63.8857,145.537,125.915,176.174,64.8739,46.2633,42.0512,34.6346,103.245,99.6441,44.5182,280.352,148.232,
225.514,197.122,93.3192,196.166,284.272,198.931,210.013,49.6005,197.651,66.9205,22.3717,171.57,110.579,63.8851,145.404,125.924,176.072,64.8783,46.297,42.0428,34.9917,103.342,99.9894,44.6494,280.312,147.875,
225.544,197.114,93.2974,196.17,284.214,198.918,209.992,49.5911,197.628,66.8716,22.3894,171.574,110.58,63.8849,145.438,125.921,175.94,64.8868,46.3295,42.0344,35.3556,103.442,100.328,44.7789,280.273,147.512,
225.401,197.153,93.177,196.182,284.218,198.919,210.006,49.5971,197.598,66.8044,22.4628,171.59,110.579,63.8851,145.461,125.918,175.914,64.8884,46.2458,42.0534,35.7261,103.543,100.665,44.9115,280.235,147.15,
225.259,197.194,93.1215,196.187,284.147,198.903,209.93,49.5636,197.572,66.7502,22.4488,171.587,110.578,63.886,145.39,125.928,175.919,64.8882,46.0884,42.0854,36.096,103.644,101.002,45.0474,280.2,146.783,
225.134,197.229,93.1051,196.188,284.059,198.886,209.862,49.5368,197.592,66.7951,22.273,171.558,110.574,63.8882,145.29,125.94,175.938,64.8882,46.0619,42.0909,36.453,103.742,101.344,45.1878,280.168,146.421,
225.049,197.251,93.11,196.188,284.107,198.896,209.723,49.4841,197.576,66.7574,22.2152,171.548,110.57,63.8907,145.217,125.95,175.866,64.8869,45.9436,42.1164,36.8235,103.842,101.683,45.3295,280.139,146.058,
